dt,ts,lat,lng,thoroughfare,place_name
2017-06-18,1497751957019,-8.044947,-34.880176,Avenida Norte Miguel Arraes de Alencar,Adelmo Auto Serviços
2017-06-12,1497231369901,-8.015752,-34.891048,Rua Florença,Fera`s Film Equipadora
2017-06-17,1497729677680,-8.119402,-34.91283,"Av. Mal. Mascarenhas de Morais, 4025",Shopping do Automóvel de Pernambuco
2017-06-22,1498123109510,-8.045447,-34.928081,Rua Sigismundo Gonçalves,"Mecânica Três ""M"""
2017-06-12,1497228461134,-8.037413,-34.954129,"Rua Torre, 522 em Água Fria",Globo Mahindra
2017-06-11,1497086724613,-8.083464,-34.903313,"Rua Francisco Silveira, 140C em Afogados",Target Recife Blindados
2017-06-06,1496748130004,-8.030102,-34.892405,Rua Mem de Sá,Lojao do Petroleo
2017-06-30,1498846162158,-8.123589,-34.905269,Rua Tenente Domingos de Brito,Vivicav Peças e Serviços Pará
2017-06-27,1498578547674,-8.133326,-34.900809,"Rua Doutor Vicente Gomes, 203 em Boa Viagem",Reparo Veículos
2017-06-22,1498172146773,-8.086985,-34.886835,Avenida Herculano Bandeira,Top Films
2017-06-29,1498772449050,-8.138846,-34.906066,Rua Izabel Magalhães,Recife Troca Lubrificantes
2017-06-14,1496946459523,-8.103277,-34.910978,"Av. Mascarenhas de Moraes, 2156",Fiat Italiana
2017-06-26,1498276050380,-8.046738,-34.920253,"Rua Joaquim Alheiros, 289 em Cordeiro",Severino Rodrigues Andrade Veículos - Cordeiro
2017-06-12,1497265138774,-8.056601,-34.924164,Avenida General San Martin,B1 Blindagens
2017-06-26,1498506586743,-8.112272,-34.912421,Rua José da Silva Lucena,Via Norte
2017-06-26,1498496571442,-8.053737,-34.904762,Rua Professor José Torres Pires,Fred'S Veículos - Madalena
2017-06-17,1497669613875,-8.073184,-34.914845,2A Travessa da Holmes Fontes,Nova Vida Moto Pecas
2017-06-17,1497711396368,-8.062551,-34.934717,Rua Guaramiranga,Paraiba So Macha
2017-06-30,1498789232720,-8.053588,-34.920293,Rua Gregório Júnior,Pra Fiat
2017-06-07,1496877834047,-8.040358,-34.887061,Avenida Norte Miguel Arraes de Alencar,Kalhambek Equipadora
2017-06-26,1498496523432,-8.087995,-34.882935,Rua Carlos Líra Filho,Pit Stop
2017-06-19,1497879122782,-8.072191,-34.897355,Rua Jaraguari,Oficina do Ferreira
2017-06-24,1498340119171,-8.137131,-34.913261,"Rua Camboim, 443 em Boa Viagem",Aldo Lanternas e Faróis
2017-06-23,1498234265183,-8.043463,-34.932928,Avenida Caxangá,Autoglass
2017-06-24,1498339888865,-8.043501,-34.932906,Avenida Caxangá,Autoglass
2017-06-25,1498418368429,-8.045563,-34.928189,Rua Sigismundo Gonçalves,"Mecânica Três ""M"""
2017-06-22,1498149520910,-8.110278,-34.910655,Rua Itajubá,Rota Premium Imbiribeira
2017-06-21,1498072962875,-8.062248,-34.910116,Avenida Engenheiro Abdias de Carvalho,Caoa Veículos
